interaction_id,prospect_id,date,canal,action,resultat,commentaire
I179,P092,2026-06-09,LinkedIn,Message LinkedIn,Pas intéressé,Intéressé par l'offre
I180,P127,2026-07-05,WhatsApp,Relance 1,À rappeler,À revoir en début d'année prochaine
I181,P148,2026-06-17,LinkedIn,Relance 2,Rendez-vous fixé,À relancer dans 7 jours
I182,P012,2026-06-13,LinkedIn,Email initial,Sans réponse,Intéressé par l'offre
I183,P113,2026-07-29,Email,Réunion,Réponse positive,
I184,P034,2026-08-23,WhatsApp,WhatsApp,Promesse de réponse,Numéro injoignable
I185,P024,2026-08-23,WhatsApp,Relance 1,Sans réponse,Numéro injoignable
I186,P043,2026-06-07,LinkedIn,Relance 1,Rendez-vous fixé,
I187,P060,2026-07-25,Email,Appel,Sans réponse,Intéressé par l'offre
I188,P123,2026-06-10,Téléphone,Message LinkedIn,Demande d'information,
I189,P114,2026-06-02,Email,Relance 2,Promesse de réponse,À relancer dans 7 jours
I190,P109,2026-08-28,Téléphone,Démonstration,Sans réponse,Intéressé par l'offre
I191,P099,2026-06-12,Email,Appel,À rappeler,Numéro injoignable
I192,P077,2026-06-18,LinkedIn,WhatsApp,Rendez-vous fixé,
I193,P037,2026-06-09,Email,WhatsApp,Pas intéressé,Numéro injoignable
I194,P055,2026-08-20,Téléphone,Réunion,Demande d'information,
I195,P114,2026-06-28,Email,Appel,Réponse positive,À relancer dans 7 jours
I196,P013,2026-09-02,LinkedIn,Relance 2,Pas intéressé,Numéro injoignable
I197,P036,2026-07-02,WhatsApp,Appel,Réponse positive,À revoir en début d'année prochaine
I198,P073,2026-09-08,Email,Relance 1,Réponse positive,À revoir en début d'année prochaine
I199,P131,2026-06-25,LinkedIn,Relance 1,Rendez-vous fixé,À relancer dans 7 jours
I200,P062,2026-08-03,LinkedIn,Appel,Réponse positive,Demande une proposition
I201,P079,2026-06-10,Email,Relance 2,À rappeler,Intéressé par l'offre
I202,P100,2026-08-12,LinkedIn,Relance 2,Demande d'information,
I203,P045,2026-09-06,LinkedIn,Appel,Sans réponse,À revoir en début d'année prochaine
I204,P018,2026-06-02,WhatsApp,Message LinkedIn,Sans réponse,À relancer dans 7 jours
I205,P102,2026-08-04,WhatsApp,Réunion,Pas intéressé,
I206,P103,2026-06-11,Téléphone,Relance 1,Sans réponse,Numéro injoignable
I207,P021,2026-08-05,Téléphone,WhatsApp,Demande d'information,Numéro injoignable
I208,P101,2026-08-15,Email,Relance 1,Rendez-vous fixé,Demande une proposition
I209,P062,2026-06-08,Téléphone,Appel,Pas intéressé,À relancer dans 7 jours
I210,P117,2026-08-18,Email,Relance 1,Rendez-vous fixé,
I211,P045,2026-06-16,Email,WhatsApp,Rendez-vous fixé,À relancer dans 7 jours
I212,P042,2026-08-03,WhatsApp,Relance 1,Réponse positive,Numéro injoignable
I213,P033,2026-09-04,WhatsApp,Appel,Promesse de réponse,À relancer dans 7 jours
I214,P086,2026-09-12,LinkedIn,Relance 1,Demande d'information,À relancer dans 7 jours
I215,P068,2026-08-31,Email,Démonstration,Pas intéressé,À revoir en début d'année prochaine
I216,P093,2026-06-08,LinkedIn,WhatsApp,À rappeler,Intéressé par l'offre
I217,P066,2026-09-07,Email,Appel,Réponse positive,
I218,P131,2026-06-01,Email,Email initial,Réponse positive,À relancer dans 7 jours
I219,P121,2026-07-17,LinkedIn,WhatsApp,Réponse positive,À relancer dans 7 jours
I220,P142,2026-09-11,LinkedIn,Message LinkedIn,À rappeler,Intéressé par l'offre
I221,P107,2026-09-01,WhatsApp,Relance 1,Promesse de réponse,À relancer dans 7 jours
I222,P147,2026-07-18,Email,Email initial,Réponse positive,Intéressé par l'offre
I223,P133,2026-06-06,LinkedIn,Appel,Pas intéressé,Numéro injoignable
I224,P080,2026-07-12,Email,Démonstration,Sans réponse,Numéro injoignable
I225,P052,2026-07-08,WhatsApp,Message LinkedIn,Pas intéressé,Numéro injoignable
I226,P046,2026-08-03,Téléphone,Message LinkedIn,Réponse positive,À relancer dans 7 jours
I227,P105,2026-06-04,Téléphone,Relance 2,Rendez-vous fixé,
I228,P003,2026-07-13,Email,Réunion,Promesse de réponse,
I229,P079,2026-06-14,Téléphone,Message LinkedIn,Pas intéressé,Demande une proposition
I230,P016,2026-06-19,WhatsApp,Appel,Sans réponse,Intéressé par l'offre
I231,P134,2026-07-23,WhatsApp,Démonstration,Rendez-vous fixé,À relancer dans 7 jours
I232,P149,2026-06-13,Téléphone,Réunion,Sans réponse,À revoir en début d'année prochaine
I233,P146,2026-06-08,LinkedIn,WhatsApp,Réponse positive,Numéro injoignable
I234,P067,2026-07-11,LinkedIn,Relance 2,À rappeler,Demande une proposition
I235,P070,2026-06-30,Email,Message LinkedIn,Réponse positive,À revoir en début d'année prochaine
I236,P028,2026-06-20,Email,WhatsApp,Pas intéressé,Demande une proposition
I237,P081,2026-07-23,Email,Relance 2,Promesse de réponse,Intéressé par l'offre
I238,P116,2026-07-10,LinkedIn,Relance 1,Promesse de réponse,À relancer dans 7 jours
I239,P024,2026-06-21,WhatsApp,Email initial,Réponse positive,Numéro injoignable
I240,P038,2026-06-12,Téléphone,Relance 2,Pas intéressé,À revoir en début d'année prochaine
I241,P013,2026-08-26,WhatsApp,Relance 1,Promesse de réponse,Intéressé par l'offre
I242,P008,2026-07-22,LinkedIn,Message LinkedIn,Sans réponse,Demande une proposition
I243,P027,2026-09-11,Téléphone,Appel,Sans réponse,À relancer dans 7 jours
I244,P057,2026-06-17,Téléphone,Réunion,À rappeler,
I245,P022,2026-08-14,WhatsApp,Appel,Sans réponse,À relancer dans 7 jours
I246,P051,2026-08-22,LinkedIn,WhatsApp,Sans réponse,Numéro injoignable
I247,P032,2026-06-06,LinkedIn,Email initial,Réponse positive,À revoir en début d'année prochaine
I248,P111,2026-09-01,LinkedIn,Démonstration,Sans réponse,Demande une proposition
I249,P110,2026-06-23,WhatsApp,Message LinkedIn,Réponse positive,Numéro injoignable
I250,P072,2026-07-28,Téléphone,Email initial,Demande d'information,À revoir en début d'année prochaine
